"Name" -> "Trails_and_Bikeways"
"ResourceType" -> "DataResource"
"Title" -> "Trails and Bikeways Champaign-Urbana"
"Description" -> "Records of trails and bikeways about path type, name, distance, width, shape length and construction year in Champaign-Urbana IL"
"Publisher" -> "The Champaign Urbana Urbanized Area Transportation Study (CUUATS) Open Data"
"Source" -> "http://data.cuuats.org/datasets/abeda57b97c84c4f88e7423585b3a087_0?uiTab=table"
"Date" -> "NA"
"Keywords" -> "Text, Trail, Bikeway, Champaign, Urbana"
"Categories" -> "City Planning and Infrastructure"
"ContentLocation" -> "Champaign-Urbana, Illinois"
OBJECTID,Path_Type,Dx_Miles,Name,Width_ft,Year_Const,City,Type,SHAPESTLength
1,1,1.00759,Lincoln Avenue Trail (Florida-Windsor),0,2003,Urbana,1,5320.077347
2,1,1.005981,Windsor Road S SP (Race-Philo),0,2003,Urbana,1,5311.579178
3,1,0.871845,Windsor Road N SP (Myra Ridge-Stone Creek),0,2003,Urbana,1,4603.343265
4,3,0.011526,Ethel S. Robeson Trail,0,,Champaign,3,60.859755
5,3,0.090604,Ethel S. Robeson Trail,0,,Champaign,3,478.387827
6,3,0.434932,Greenbelt Bikeway (Bradley-Heritage Park),0,,Champaign,3,2296.438439
7,3,0.233575,Greenbelt Bikeway (Heritage Park),0,,Champaign,3,1233.275039
8,3,0.026472,Greenbelt Bikeway Spur to Kaufman Lake,0,,Champaign,3,139.770156
9,3,0.396546,Robeson Meadows Trail,0,,Champaign,3,2093.76128
10,3,0.198388,Robeson Meadows Trail,0,,Champaign,3,1047.490825
11,3,0.367029,Robeson Meadows Trail,0,,Champaign,3,1937.914736
12,3,0.089302,Robeson Crossing Trail,0,,Champaign,3,471.512863
13,3,0.077562,Robeson Meadows Trail,0,,Champaign,3,409.528315
14,3,0.088699,Robeson Meadows Trail,0,,Champaign,3,468.330577
15,3,0.059209,Burwash Park Path,0,,Savoy,3,312.623382
16,3,0.086881,Burwash Park Path,0,,Savoy,3,458.732041
17,3,0.071846,Burwash Park Path,4,,Savoy,3,379.34505
18,3,0.414718,Boulware Trail (Devonshire-Fox),0,,Champaign,3,2189.711597
19,3,0.077037,Boulware Trail around Mattis Lake,6,,Champaign,3,406.754753
20,3,0.46144,Boulware Trail (Fox-Devonshire),0,,Champaign,3,2436.403041
21,2,1.030904,Windsor Road N DSUP (Prospect-W of Mattis),0,,Champaign,2,5443.175341
