"Name" -> "Community_Resources"
"ResourceType" -> "DataResource"
"Title" -> "Community Resources in Urbana"
"Description" -> "A list of community resources in Urbana IL including website, address, resource type and map location"
"Publisher" -> "City of Urbana"
"Source" -> "https://data.urbanaillinois.us/dataset/Community-Resources/24qi-2d42/data"
"Date" -> "NA"
"Keywords" -> "Text, Community, Resource, Urbana"
"Categories" -> "Commerce and Economic Development"
"ContentLocation" -> "Urbana, Illinois"
Resource Name,Website,Resource Type,Map Location,Address
Strawberry Fields Natural Food Market,http://www.strawberry-fields.com,Grocery Store,"(40.112639, -88.211240)",306 W Springfield Ave
El Progreso Mexican Grocery,http://www.elprogresomexicangrocery.com,Grocery Store,"(40.117260, -88.203190)",510 N Cunningham Ave
Save-A-Lot,http://www.save-a-lot.com,Grocery Store,"(40.114409, -88.206800)",220 N Broadway Ave
Common Ground Food Co-Operative,http://www.commonground.coop,Grocery Store,"(40.110639, -88.207179)",300 S Broadway Ave
Schnucks,http://www.schnucks.com,Grocery Store,"(40.114080, -88.203019)",200 N Vine St
Urbana Market at the Square,http://www.urbanaillinois.us/market,Farmers Market,"(40.110070, -88.204449)",400 S Vine St
The Best of Africa Food Store,,Grocery Store,"(40.114629, -88.210089)",208 W Griggs St
County Market,http://www.urbana.mycountymarket.com/,Grocery Store,"(40.095260, -88.192850)",1819  Philo Rd
ALDI,http://www.aldi.us,Grocery Store,"(40.113920, -88.164199)",3102 E University Ave
Walmart Grocery,http://www.walmart.com,Grocery Store,"(40.111780, -88.160089)",100 S High Cross Rd
Meijer,http://www.meijer.com,Grocery Store,"(40.086030, -88.187370)",2500 S Philo Rd
Tang Dynasty Express,http://www.urbanatangdynasty.com/,Food Truck,"(40.112805, -88.225576)",100 N Mathews Ave
Dragon Fire Pizza,http://www.dragonfirepizza.net/,Food Truck,"(40.105971, -88.223805)",1200 W Nevada St
Cracked,http://www.crackedtrucks.com/,Food Truck,"(40.112805, -88.225596)",100 N Mathews Ave
Cracked,http://www.crackedtrucks.com/,Food Truck,"(40.107014, -88.223882)",600 S Goodwin Ave
Piato Café,http://www.piatocafe.com,Food Truck,"(40.107012, -88.221586)",1100 W Oregon St
