"Name" -> "Fire___Rescue_Incidents_by_Day_and_Type"
"ResourceType" -> "DataResource"
"Title" -> "Fire & Rescue Incidents in Urbana"
"Description" -> "Records of fire & rescue alarm incidents by day and type in Urbana IL from 2012 to 2014"
"Publisher" -> "City of Urbana"
"Source" -> "https://data.urbanaillinois.us/Fire-and-Rescue/Fire-Rescue-Incidents-by-Day-and-Type/kcfr-xfr4/data"
"Date" -> "2012-2014"
"Keywords" -> "Text, Fire, Rescue, Emergency, Alarm, Urbana"
"Categories" -> "Crime and Public Safety"
"ContentLocation" -> "Urbana, Illinois"
Alarm Date,Alarm Time,Incident Type,Incident Type Description,Count
01/01/2012,1:12:29,3,Rescue or Emergency Medical Services Incident,1
01/01/2012,1:15:49,3,Rescue or Emergency Medical Services Incident,1
01/01/2012,1:19:39,7,False Alarm or False Call,1
01/01/2012,5:00:18,7,False Alarm or False Call,1
01/01/2012,10:02:22,5,Service Call,1
01/01/2012,13:08:40,6,Good Intent Call,1
01/01/2012,17:09:01,6,Good Intent Call,1
01/01/2012,19:46:44,6,Good Intent Call,1
01/01/2012,20:40:25,7,False Alarm or False Call,1
01/01/2012,22:42:52,4,Hazardous Condition (no fire),1
01/01/2012,23:30:01,7,False Alarm or False Call,1
01/02/2012,3:08:40,7,False Alarm or False Call,1
01/02/2012,4:20:34,7,False Alarm or False Call,1
01/02/2012,11:37:58,4,Hazardous Condition (no fire),1
01/02/2012,12:16:59,1,Fire,1
01/02/2012,13:55:30,3,Rescue or Emergency Medical Services Incident,1
01/02/2012,14:33:33,3,Rescue or Emergency Medical Services Incident,1
01/02/2012,16:19:54,3,Rescue or Emergency Medical Services Incident,1
01/02/2012,16:31:50,4,Hazardous Condition (no fire),1
01/02/2012,17:08:52,3,Rescue or Emergency Medical Services Incident,1
01/02/2012,17:57:26,1,Fire,1
01/02/2012,20:13:30,3,Rescue or Emergency Medical Services Incident,1
01/03/2012,2:52:04,3,Rescue or Emergency Medical Services Incident,1
01/03/2012,3:48:30,3,Rescue or Emergency Medical Services Incident,1
01/03/2012,7:03:14,5,Service Call,1
01/03/2012,10:15:01,6,Good Intent Call,1
01/03/2012,12:44:02,3,Rescue or Emergency Medical Services Incident,1
01/03/2012,12:59:54,3,Rescue or Emergency Medical Services Incident,1
01/03/2012,17:08:21,3,Rescue or Emergency Medical Services Incident,1
01/03/2012,17:30:41,6,Good Intent Call,1
01/03/2012,18:44:25,3,Rescue or Emergency Medical Services Incident,1
01/03/2012,21:28:52,7,False Alarm or False Call,1
01/03/2012,22:30:21,4,Hazardous Condition (no fire),1
01/03/2012,23:30:29,3,Rescue or Emergency Medical Services Incident,1
01/04/2012,0:59:08,3,Rescue or Emergency Medical Services Incident,1
01/04/2012,7:29:03,3,Rescue or Emergency Medical Services Incident,1
01/04/2012,8:51:41,3,Rescue or Emergency Medical Services Incident,1
01/04/2012,10:04:07,3,Rescue or Emergency Medical Services Incident,1
01/04/2012,12:52:20,3,Rescue or Emergency Medical Services Incident,1
01/04/2012,14:06:49,3,Rescue or Emergency Medical Services Incident,1
01/04/2012,14:53:55,5,Service Call,1
01/04/2012,15:00:30,7,False Alarm or False Call,1
01/04/2012,16:17:58,3,Rescue or Emergency Medical Services Incident,1
01/04/2012,16:37:23,3,Rescue or Emergency Medical Services Incident,1
01/05/2012,0:00:41,6,Good Intent Call,1
01/05/2012,6:59:05,7,False Alarm or False Call,1
01/05/2012,7:07:15,3,Rescue or Emergency Medical Services Incident,1
01/05/2012,7:47:38,5,Service Call,1
01/05/2012,7:54:16,3,Rescue or Emergency Medical Services Incident,1
01/05/2012,8:28:26,5,Service Call,1
01/05/2012,9:42:52,7,False Alarm or False Call,1
01/05/2012,10:27:21,3,Rescue or Emergency Medical Services Incident,1
01/05/2012,11:50:12,7,False Alarm or False Call,1
01/05/2012,14:54:19,7,False Alarm or False Call,1
