"Name" -> "Pedestrian_Crashes_from_2005_to_2014"
"ResourceType" -> "DataResource"
"Title" -> "Pedestrian Crashes Champaign-Urbana"
"Description" -> "Features of records of pedestrian crashes in Champaign-Urbana IL from 2005 to 2014"
"Publisher" -> "The Champaign Urbana Urbanized Area Transportation Study (CUUATS) Open Data"
"Source" -> "http://data.cuuats.org/datasets/cb128e58eb85408f9730d509b637b4c7_0?uiTab=table"
"Date" -> "2005-2014"
"Keywords" -> "Text, Pedestrian, Crash, Geographical, Champaign, Urbana"
"Categories" -> "Crime and Public Safety"
"ContentLocation" -> "Champaign-Urbana, Illinois"
X,Y,OBJECTID,Injury,Fatality,Year,CollisionType,Weather,Light,RoadSurface,TrafficControl,City,CrashSeverity
-88.273457737925312,40.143950695178752,1,2,0,2010,Pedestrian,Clear,Daylight,Wet,No Controls,Unincorporated,A-Injury
-88.204974194955255,40.105638345246724,2,1,0,2010,Pedestrian,Rain,Daylight,Wet,Stop Sign/Flasher,Urbana,B-Injury
-88.25084867770002,40.098115824207945,3,0,1,2010,Pedestrian,Fog/Smoke/Haze,"Darkness, lighted road",Wet,Other,Champaign,Fatal
-88.233769363628838,40.12145256931661,4,1,0,2010,Pedestrian,Clear,"Darkness, lighted road",Wet,No Controls,Champaign,A-Injury
-88.218726910400463,40.110596259930759,5,1,0,2010,Pedestrian,Clear,Darkness,Dry,No Controls,Urbana,B-Injury
-88.219327106094184,40.110671705109574,6,1,0,2010,Pedestrian,Clear,Daylight,Dry,No Controls,Urbana,B-Injury
-88.235493705577383,40.107970353139507,7,1,0,2010,Pedestrian,Clear,Daylight,Dry,No Controls,Champaign,A-Injury
-88.238945321304072,40.138017246859512,8,1,0,2010,Pedestrian,Clear,Daylight,Dry,Stop Sign/Flasher,Champaign,C-Injury
-88.253948685412752,40.112657034418604,9,1,0,2010,Pedestrian,Rain,Daylight,Wet,No Controls,Champaign,A-Injury
-88.222396092792252,40.112840293533672,10,1,0,2010,Pedestrian,Clear,"Darkness, lighted road",Dry,Stop Sign/Flasher,Urbana,C-Injury
-88.2386540840034,40.104106957601751,11,1,0,2010,Pedestrian,Rain,Daylight,Wet,Stop Sign/Flasher,Champaign,C-Injury
-88.190816245634807,40.129582039807303,12,1,0,2010,Pedestrian,Clear,Daylight,Dry,No Controls,Unincorporated,B-Injury
-88.22832076669151,40.083507683722296,13,1,0,2010,Pedestrian,Clear,Darkness,Dry,No Controls,Unincorporated,A-Injury
-88.183216369522398,40.098806126152326,14,1,0,2010,Pedestrian,Rain,"Darkness, lighted road",Wet,No Controls,Urbana,B-Injury
-88.209467656559454,40.112430889825184,15,0,1,2010,Pedestrian,Clear,Dusk,Dry,No Controls,Urbana,Fatal
-88.257914095266258,40.14263765606438,16,1,0,2010,Pedestrian,Clear,Daylight,Dry,Lane Use Marking,Champaign,B-Injury
-88.248430276888072,40.144557309186439,17,1,0,2010,Pedestrian,Clear,Daylight,Dry,No Controls,Champaign,C-Injury
-88.251148089129117,40.128810778848042,18,1,0,2010,Pedestrian,Clear,Daylight,Dry,No Controls,Champaign,A-Injury
-88.272499014528151,40.112809310223369,19,0,1,2010,Pedestrian,Clear,"Darkness, lighted road",Dry,Lane Use Marking,Champaign,Fatal
-88.230571595765468,40.123115718471169,20,1,0,2010,Pedestrian,Clear,Daylight,Dry,No Controls,Champaign,C-Injury
-88.222213220654837,40.11642767005241,21,1,0,2010,Pedestrian,Clear,"Darkness, lighted road",Dry,No Controls,Urbana,A-Injury
-88.254215635955219,40.112657502568482,22,1,0,2010,Pedestrian,Clear,Daylight,Dry,Stop Sign/Flasher,Champaign,B-Injury
-88.235406797005666,40.110278347501129,23,1,0,2010,Pedestrian,Clear,Daylight,Dry,Stop Sign/Flasher,Champaign,B-Injury
-88.276421988233608,40.11285373982075,24,1,0,2010,Pedestrian,Clear,"Darkness, lighted road",Dry,No Controls,Champaign,A-Injury
-88.285921497044512,40.098388846117608,25,1,0,2010,Pedestrian,Clear,Daylight,Dry,No Controls,Champaign,A-Injury
-88.257987186872754,40.131044175710912,26,1,0,2010,Pedestrian,Clear,Daylight,Dry,No Controls,Champaign,C-Injury
-88.272120007671077,40.134356786693033,27,1,0,2010,Pedestrian,Clear,Daylight,Dry,No Controls,Champaign,B-Injury
-88.219266589091049,40.107415034876716,28,1,0,2010,Pedestrian,Clear,Daylight,Dry,No Controls,Urbana,B-Injury
-88.279907677113769,40.098316682046118,29,1,0,2010,Pedestrian,Clear,Daylight,Dry,Stop Sign/Flasher,Champaign,C-Injury
-88.226977590341193,40.110475895408321,30,1,0,2010,Pedestrian,Clear,Daylight,Dry,Lane Use Marking,Urbana,C-Injury
-88.190705573400109,40.098418107316768,31,1,0,2010,Pedestrian,Clear,Darkness,Dry,Traffic Signal,Urbana,C-Injury
-88.244594133067793,40.098100953433622,32,1,0,2010,Pedestrian,Clear,Daylight,Dry,Traffic Signal,Champaign,A-Injury
-88.207416002685392,40.112467912293653,33,1,0,2010,Pedestrian,Clear,Daylight,Dry,Other,Urbana,B-Injury
-88.223934841999153,40.11104134408226,34,1,0,2010,Pedestrian,Clear,Daylight,Dry,No Controls,Urbana,B-Injury
-88.176782897835963,40.105528643848729,35,0,0,2010,Pedestrian,Clear,"Darkness, lighted road",Dry,No Controls,Urbana,Property Damage
-88.249615511245878,40.098106830434112,36,1,0,2010,Pedestrian,Clear,Daylight,Dry,No Controls,Champaign,B-Injury
-88.152376852163485,40.308226386070615,37,1,0,2010,Pedestrian,Clear,Daylight,Dry,Traffic Signal,Rantoul,B-Injury
,,38,1,0,2010,Pedestrian,Clear,Daylight,Dry,NA,Urbana,C-Injury
-88.272838383873605,40.12738797927225,39,1,0,2010,Pedestrian,Snow,Daylight,Snow or Slush,No Controls,Champaign,B-Injury
-88.286065914665954,40.112918453212146,40,1,0,2010,Pedestrian,Clear,Daylight,Snow or Slush,Traffic Signal,Champaign,A-Injury
-88.171528197981814,40.107737921084343,41,1,0,2010,Pedestrian,Snow,Darkness,Snow or Slush,No Controls,Unincorporated,A-Injury
-88.268460753013642,40.127319333219013,42,1,0,2010,Pedestrian,Clear,Darkness,Dry,No Controls,Champaign,A-Injury
-88.200637420844856,40.12892426714761,43,1,0,2011,Pedestrian,Clear,Darkness,Wet,No Controls,Urbana,B-Injury
-88.227957698565675,40.110411902039203,44,1,0,2011,Pedestrian,Clear,Dusk,Snow or Slush,No Controls,Urbana,C-Injury
-88.257914603353086,40.122179043217713,45,1,0,2011,Pedestrian,Clear,Daylight,Snow or Slush,No Controls,Champaign,B-Injury
-88.189688191599515,40.144003333916764,46,1,0,2011,Pedestrian,Clear,Darkness,Dry,No Controls,Urbana,B-Injury
-88.243514873643235,40.11636707707779,47,1,0,2011,Pedestrian,Clear,Darkness,Dry,Other,Champaign,A-Injury
-88.190705559898859,40.098417383138596,48,1,0,2011,Pedestrian,Rain,"Darkness, lighted road",Wet,Traffic Signal,Urbana,A-Injury
-88.233554962496143,40.112676710794403,49,1,0,2011,Pedestrian,Clear,"Darkness, lighted road",Wet,Traffic Signal,Champaign,B-Injury
-88.208924911628301,40.111598138815573,50,1,0,2011,Pedestrian,Clear,Daylight,Dry,Stop Sign/Flasher,Urbana,B-Injury
-88.234475828619679,40.104138861595082,51,1,0,2011,Pedestrian,Clear,"Darkness, lighted road",Dry,Stop Sign/Flasher,Champaign,B-Injury
-88.190705564084993,40.098417603851068,52,1,0,2011,Pedestrian,Clear,"Darkness, lighted road",Dry,Traffic Signal,Urbana,B-Injury
-88.203604798602797,40.105648074840239,53,1,0,2011,Pedestrian,Clear,Daylight,Dry,No Controls,Urbana,A-Injury
-88.204928417573583,40.109307457894303,54,1,0,2011,Pedestrian,Clear,Daylight,Dry,Traffic Signal,Urbana,B-Injury
-88.195667516816457,40.105697137429495,55,1,0,2011,Pedestrian,Rain,Darkness,Wet,No Controls,Urbana,A-Injury
-88.235398264252254,40.112658026263432,56,1,0,2011,Pedestrian,Clear,Daylight,Dry,No Controls,Champaign,A-Injury
-88.235607421682531,40.11634865413064,57,1,0,2011,Pedestrian,Clear,Daylight,Dry,No Controls,Champaign,A-Injury
-88.190691504478735,40.09764111455064,58,1,0,2011,Pedestrian,Clear,Daylight,Dry,No Controls,Urbana,B-Injury
-88.190705560875529,40.098417428983225,59,1,0,2011,Pedestrian,Rain,"Darkness, lighted road",Wet,Traffic Signal,Urbana,C-Injury
-88.245223200873497,40.121304089807531,60,1,0,2011,Pedestrian,Clear,"Darkness, lighted road",Dry,No Controls,Champaign,A-Injury
-88.232085785697976,40.11268784289706,61,1,0,2011,Pedestrian,Clear,Darkness,Dry,Stop Sign/Flasher,Champaign,A-Injury
-88.245195420422121,40.115347571561976,62,2,0,2011,Pedestrian,Clear,Daylight,Dry,Stop Sign/Flasher,Champaign,C-Injury
-88.230294271918069,40.104178847270262,63,1,0,2011,Pedestrian,Rain,Darkness,Wet,Traffic Signal,Champaign,B-Injury
-88.203793748228932,40.112546975121354,64,1,0,2011,Pedestrian,Clear,Darkness,Dry,Stop Sign/Flasher,Urbana,C-Injury
-88.233554962496143,40.112676710794403,65,2,0,2011,Pedestrian,Clear,"Darkness, lighted road",Dry,Traffic Signal,Champaign,A-Injury
-88.219245268679316,40.105986311880393,66,1,0,2011,Pedestrian,Rain,Daylight,Wet,Traffic Signal,Urbana,B-Injury
-88.205004908410842,40.103697518952252,67,1,0,2011,Pedestrian,Clear,Darkness,Dry,School Zone,Urbana,A-Injury
-88.227895892460012,40.110415914870259,68,1,0,2011,Pedestrian,Clear,Daylight,Dry,Other,Urbana,C-Injury
-88.207429750557679,40.112998356484376,69,2,0,2011,Pedestrian,Rain,Darkness,Wet,No Controls,Urbana,A-Injury
-88.219546591377821,40.127377124530454,70,1,0,2011,Pedestrian,Clear,"Darkness, lighted road",Dry,Traffic Signal,Urbana,B-Injury
-88.257915845865469,40.118277008240398,71,1,0,2011,Pedestrian,Rain,Darkness,Wet,Traffic Signal,Champaign,A-Injury
-88.246882483988273,40.08357696790253,72,0,0,2011,Pedestrian,Rain,"Darkness, lighted road",Wet,Traffic Signal,Champaign,Property Damage
-88.246816668095377,40.112617392291668,73,1,0,2011,Pedestrian,Rain,"Darkness, lighted road",Wet,Traffic Signal,Champaign,A-Injury
-88.23029496366847,40.104178839650288,74,1,0,2011,Pedestrian,Rain,"Darkness, lighted road",Wet,Traffic Signal,Champaign,B-Injury
-88.24849603730928,40.112617793453254,75,1,0,2011,Pedestrian,Clear,Daylight,Snow or Slush,No Controls,Champaign,A-Injury
-88.295216625197853,40.092755100772486,76,0,1,2011,Pedestrian,Clear,Darkness,Ice,No Controls,Champaign,Fatal
-88.212825727969332,40.116496187074297,77,0,1,2011,Pedestrian,Rain,Darkness,Wet,Traffic Signal,Urbana,Fatal
-88.233577120396561,40.110151054265799,78,1,0,2011,Pedestrian,Rain,"Darkness, lighted road",Wet,No Controls,Champaign,A-Injury
-88.223854600334676,40.105366432080324,79,1,0,2011,Pedestrian,Clear,"Darkness, lighted road",Dry,No Controls,Urbana,B-Injury
-88.285864645017753,40.099407155520716,80,1,0,2011,Pedestrian,Clear,Daylight,Dry,No Controls,Champaign,B-Injury
-88.219477273627319,40.121202678563392,81,1,0,2011,Pedestrian,Clear,Daylight,Dry,No Controls,Urbana,A-Injury
-88.219488800035194,40.125553421395963,82,2,0,2011,Pedestrian,Clear,Darkness,Dry,No Controls,Urbana,B-Injury
-88.233568340251381,40.116362405765642,83,1,0,2011,Pedestrian,Clear,Daylight,Dry,Traffic Signal,Champaign,B-Injury
-88.155805430351208,40.308198216474437,84,0,1,2011,Pedestrian,Rain,"Darkness, lighted road",Wet,Traffic Signal,Rantoul,Fatal
-88.223161829410998,40.113556856184154,85,1,0,2011,Pedestrian,Rain,Daylight,Wet,No Controls,Urbana,B-Injury
