"Name" -> "Traffic_Accidents_since_2011__counted_by_Street_and_Block"
"ResourceType" -> "DataResource"
"Title" -> "Traffic Accidents in Urbana"
"Description" -> "A table of amounts of traffic accidents group by street and block since 2011"
"Publisher" -> "City of Urbana"
"Source" -> "https://data.urbanaillinois.us/Police/Traffic-Accidents-since-2011-counted-by-Street-and/69bg-enq9"
"Date" -> "2011-"
"Keywords" -> "Text, Traffic, Accident, Urbana"
"Categories" -> "Crime and Public Safety"
"ContentLocation" -> "Urbana, Illinois"
STREET,HOUSE NUMBER BLOCK,INCIDENT
E COLORADO AVE,700 BLOCK,3
E FLORIDA AV,1400 BLOCK,1
N LINCOLN,2200 BLOCK,1
LIERMAN,1 BLOCK,5
W ILLINOIS ST,1 BLOCK,15
E WINDSOR RD,1700 BLOCK,1
S MAPLE,1400 BLOCK,1
RACE ST,1 BLOCK,21
W OREGON ST,1200 BLOCK,7
E FLORIDA AV,1500 BLOCK,1
UNIVERSITY W AV,1 BLOCK,3
N BROADWAY AVE,900 BLOCK,12
E SILVER,1100 BLOCK,2
W NEVADA ST,1000 BLOCK,2
W MICHIGAN,100 BLOCK,2
VINE S ST,200 BLOCK,1
N MATHEWS AV,400 BLOCK,1
E AMBER LN,1500 BLOCK,1
CRESTWOOD,900 BLOCK,1
E MICHIGAN AVE,500 BLOCK,4
E WASHINGTON,900 BLOCK,1
S ROMINE ST,1300 BLOCK,3
S PHILO,3100 BLOCK,2
W IOWA,1 BLOCK,2
E ANTHONY DR,1400 BLOCK,2
VINE ST,1200 BLOCK,3
STEBBINS DR,1 BLOCK,1
W PENNSYLVANIA,400 BLOCK,2
S MATHEWS AVE,500 BLOCK,1
S BROADWAY,300 BLOCK,20
E UNIVERSITY,1500 BLOCK,2
MYRA RIDGE DR,2500 BLOCK,4
E WINDSOR,1700 BLOCK,2
S SMITH RD,1000 BLOCK,10
N ORCHARD ST,1 BLOCK,2
N VINE,400 BLOCK,1
LINCOLN AVE,1900 BLOCK,1
S LINCOLN AVE,500 BLOCK,1
E FLORIDA,1800 BLOCK,5
OHIO ST,700 BLOCK,1
E AIRPORT RD,1500 BLOCK,4
E UNIVERSITY,1400 BLOCK,1
N LINCOLN AVE,1900 BLOCK,35
IOWA,1 BLOCK,3
HOLLYWOOD DR,600 BLOCK,2
MAPLE ST,100 BLOCK,2
COLORADO AV,1 BLOCK,8
BECKMAN CT,1600 BLOCK,4
E FLORIDA AV,1700 BLOCK,8
N VINE ST,1 BLOCK,13
RAINBOW VIEW,2300 BLOCK,1
S VINE,1400 BLOCK,1
PHILO,2500 BLOCK,2
E WINDSOR RD,2600 BLOCK,1
S COTTAGE GROVE,700 BLOCK,3
JOHNSON AVE,300 BLOCK,2
N RACE ST,100 BLOCK,9
S COTTAGE,1600 BLOCK,3
N LINCOLN,1400 BLOCK,6
N LINCOLN,2600 BLOCK,2
W MAIN,300 BLOCK,1
WILLOW RD,1600 BLOCK,9
E MAIN,1900 BLOCK,3
S PHILO,1600 BLOCK,1
MAPLE,1 BLOCK,4
W FLORIDA AVE,600 BLOCK,1
LINCOLN AV,1300 BLOCK,2
E UNIVERSITY AVE,700 BLOCK,1
CALIFORNIA AV,1 BLOCK,2
N LINCOLN,1500 BLOCK,8
