"Name" -> "IDPH_Population_Projections_2014_Edition"
"ResourceType" -> "DataResource"
"Title" -> "State of Illinois Population Projection"
"Description" -> "A projection of population of different ages and genders in State of Illinois, 2014 edition"
"Publisher" -> "State of Illinois Open Data"
"Source" -> "https://data.illinois.gov/dataset/IDPH-Population-Projections-2014-Edition/6u8g-w2b6"
"Date" -> "2010-2025"
"Keywords" -> "Text, Population, Projection, Illinois"
"Categories" -> "Demographics"
"ContentLocation" -> "Illinois"
FIPS,County,Age Group,Male_2010_April,Female_2010_April,Total_2010_April,Males_2010_July,Females_2010_July,Total_2010_July,Males_2015,Females_2015,Total_2015,Males_2020,Females_2020,Total_2020,Males_2025,Females_2025,Total_2025
1,Adams,0-4,2146,2086,4232,2142,2082,4224,2085,1967,4052,2120,1999,4119,2087,1968,4055
1,Adams,5-9,2189,2051,4240,2185,2047,4232,2117,2164,4281,2067,2042,4109,2107,2067,4173
1,Adams,10-14,2187,2077,4264,2185,2077,4262,2163,2038,4201,2101,2160,4260,2055,2041,4096
1,Adams,15-19,2375,2245,4620,2366,2234,4600,2020,2070,4090,2021,2035,4056,1982,2160,4142
1,Adams,20-24,2024,2083,4107,2028,2085,4113,2110,2060,4170,1799,1921,3720,1833,1909,3742
1,Adams,25-29,1958,2077,4035,1967,2084,4051,1761,2018,3779,1878,2004,3882,1602,1875,3477
1,Adams,30-34,1869,1832,3701,1881,1845,3726,1675,2055,3730,1508,1995,3503,1661,1986,3648
1,Adams,35-39,1914,1894,3808,1901,1880,3781,1817,1866,3683,1622,2074,3696,1463,2013,3477
1,Adams,40-44,2032,2076,4108,2033,2075,4108,1815,1850,3665,1744,1841,3585,1560,2054,3613
1,Adams,45-49,2420,2469,4889,2409,2459,4868,1979,2064,4044,1770,1843,3613,1704,1836,3540
1,Adams,50-54,2468,2465,4933,2474,2469,4943,2317,2413,4730,1905,2028,3933,1707,1813,3520
1,Adams,55-59,2207,2291,4498,2225,2305,4530,2366,2396,4762,2220,2348,4568,1827,1976,3803
1,Adams,60-64,1880,2041,3921,1896,2062,3958,2069,2244,4313,2208,2336,4544,2076,2292,4368
1,Adams,65-69,1484,1695,3179,1486,1696,3182,1759,1930,3689,1920,2112,4032,2049,2207,4256
1,Adams,70-74,1118,1353,2471,1120,1354,2474,1323,1577,2900,1561,1796,3357,1701,1966,3667
